Protocol,Model,Fold,Train start,Train end,Test start,Test end,AUC-ROC,Accuracy
Step 2a - WF 500/500 no embargo,MLP,1,2016-02-22,2018-02-13,2018-02-14,2020-02-10,0.4693,0.668
Step 2a - WF 500/500 no embargo,MLP,2,2018-02-14,2020-02-10,2020-02-11,2022-02-02,0.4972,0.706
Step 2a - WF 500/500 no embargo,LSTM,1,2016-02-22,2018-02-13,2018-02-14,2020-02-10,0.4852,0.686
Step 2a - WF 500/500 no embargo,LSTM,2,2018-02-14,2020-02-10,2020-02-11,2022-02-02,0.4966,0.744
Step 2a - WF 500/500 no embargo,CNN-GAF,1,2016-02-22,2018-02-13,2018-02-14,2020-02-10,0.5653,0.686
Step 2a - WF 500/500 no embargo,CNN-GAF,2,2018-02-14,2020-02-10,2020-02-11,2022-02-02,0.5027,0.682
