Protocol,Model,Fold,Train start,Train end,Test start,Test end,AUC-ROC,Accuracy
Step 3b - WF 500/500 with embargo,MLP,1,2016-02-22,2018-02-13,2018-03-15,2020-03-10,0.4612,0.66
Step 3b - WF 500/500 with embargo,MLP,2,2018-02-14,2020-02-10,2020-03-11,2022-03-03,0.5329,0.726
Step 3b - WF 500/500 with embargo,LSTM,1,2016-02-22,2018-02-13,2018-03-15,2020-03-10,0.4736,0.678
Step 3b - WF 500/500 with embargo,LSTM,2,2018-02-14,2020-02-10,2020-03-11,2022-03-03,0.5089,0.764
Step 3b - WF 500/500 with embargo,CNN-GAF,1,2016-02-22,2018-02-13,2018-03-15,2020-03-10,0.5136,0.678
Step 3b - WF 500/500 with embargo,CNN-GAF,2,2018-02-14,2020-02-10,2020-03-11,2022-03-03,0.5029,0.702
